member,C1,C2,lambda_wm2k,gamma,sai_efficacy,sai_nonlinearity_alpha,lag_years,ar1_phi,noise_sigma_c,peak_sai_command_wm2,peak_realized_cooling_wm2,max_cap_exceedance_c,mean_cap_exceedance_c,raw_peak_annual_warming_jump_c_yr_including_ar1_noise,raw_peak_annual_cooling_jump_c_yr_including_ar1_noise,max_command_change_wm2_yr
0,10.39999104001663,129.10720107406604,1.4204597430737178,0.7458292912484603,0.815269910111498,0.11235249575940037,2,0.35457443666599353,0.1230874721611761,2.311419583032644,1.4959436151634316,0.6156297083397579,0.06122129343224819,0.39633906470522906,0.5035608575237904,0.20000000000000018
1,7.214340716494267,140.62518792462717,1.7885521946939098,0.7153929713856528,1.0815239575370112,0.15237156764481716,1,0.6082860110745704,0.11662071503764668,1.8294673717488226,1.5472916193870394,0.36649571091487165,0.05244096618787733,0.25168643253091416,0.2778077340953691,0.20000000000000007
2,5.762448377647494,90.53449283344352,1.5854967871630046,0.645953560026661,0.9946425445219873,0.07310829971001617,3,0.3241894054741705,0.08175056668267308,1.752629568994534,1.5452449650382767,0.4602891087825489,0.039242930932477244,0.262568894001606,0.3431467678923218,0.20000000000000007
3,11.682641317650608,84.19852719758407,1.6471363607793057,0.6303011756946106,0.988109888551611,0.23510615220445302,2,0.5127691858727312,0.08175015073005348,1.9279661772929417,1.3108600943591835,0.33343483531224893,0.047698962539398315,0.24476387190030602,0.27610701271653826,0.20000000000000007
4,6.458792580531322,120.16958060495668,0.8875688907297538,0.4780796987676865,0.8075313284416229,0.23141635616513972,3,0.5748300406175231,0.11233977115150581,1.8606482261668562,1.0502922439211866,0.53202452401342,0.04133871004143569,0.25311059288214255,0.2677246213887443,0.20000000000000007
5,6.920101753785092,109.05752012838563,1.0368463927117868,0.9772190439926968,0.9472291765152243,0.15984274923223324,3,0.6868284311437125,0.08718310752438635,1.9656562545650957,1.416780371664651,0.32939609395996294,0.036984867735491554,0.1736545781693214,0.18932934428310544,0.20000000000000007
6,8.734363778394654,107.50065628231016,1.2635622300086482,0.67420150482336,1.091994394275717,0.17652506432039478,1,0.3474840800649085,0.10957550957095236,1.5649634643847241,1.3390199924813402,0.40575974037111906,0.038745714971136005,0.3656532506516639,0.503315078636226,0.20000000000000007
7,8.800238159324724,122.58991672531099,1.7165322478060572,0.842755996771684,1.0869410222677742,0.18875709154189024,3,0.36177290727271544,0.07457996034775705,1.6786553042825842,1.3855701857758103,0.37968473599212627,0.04616844689227199,0.3284679968488371,0.22352190323516263,0.20000000000000007
8,6.420831327424678,79.53147633894957,1.448113134142802,0.7175229526544091,0.8005469891463936,0.04043618704401098,1,0.37307606890374717,0.08968642745916229,1.5763931946976124,1.1863546309016413,0.4221583322838185,0.04533929521159426,0.3920089724324063,0.2827424934727839,0.20000000000000007
9,5.755022349737429,100.03174371980657,1.2383885417982952,0.43412388888087083,0.9776606336328983,0.1694622699232446,1,0.41817455147826477,0.11067662688666147,1.5410030302132274,1.194614208793256,0.3541256375266182,0.035627242190704414,0.2934608613246854,0.352394077823005,0.20000000000000007
10,5.668339814495883,137.64210861377185,1.783127503179347,0.8255387806361536,0.9773938124802929,0.1753222169310182,3,0.6889612856976669,0.08982152397207696,2.180007317095847,1.5415424214230844,0.5248550053504619,0.05781983927088624,0.3216463551065196,0.21098590962919284,0.20000000000000018
11,6.9664041090223785,90.88702363501588,1.7210029508998932,0.5592099322340329,0.9931395860684484,0.21313115563676976,3,0.5586546990676282,0.12653893287505444,2.0223320181307276,1.4035130412892687,0.44291133207077427,0.053515364533862235,0.35901648919796414,0.3750682068573432,0.20000000000000018
12,9.229073894129876,95.02454042138648,0.8891949898735392,0.9373112937667588,0.9715798726293547,0.10409352460937393,1,0.6974838227323581,0.0952118866220917,1.5426730298699765,1.2914466304890042,0.2503195838460619,0.028257753099372594,0.2203448890718216,0.18446056501902774,0.20000000000000007
13,8.097677922977471,114.72857822026106,0.8091615622029279,0.9692312387414789,0.9552093964997588,0.20392973780407123,3,0.5305660867462237,0.12600254124861904,2.0241316247955417,1.368556097537461,0.40456742561649084,0.035636961494831254,0.4523269701047672,0.33421346713264277,0.20000000000000007
14,7.550072450916604,102.04502338767273,0.8320928816716991,0.6558698201426076,0.8314048663025067,0.19277232269653585,2,0.3282358733664753,0.11144430732961765,1.6808159215063354,1.0554553830388764,0.40993268969018337,0.035704544926807365,0.3985017864566318,0.3958813886552815,0.20000000000000007
15,11.385403294440827,76.98725701798847,1.5756217584920487,0.46191545682504503,0.9140223808085144,0.04644792775317708,1,0.48928040034129194,0.09736333788826507,1.707021765797121,1.4456351247576138,0.31881004065500673,0.044171851379892456,0.32305968088936887,0.2620466944196229,0.20000000000000007
16,11.02011348547459,128.11522481797803,1.4798806585061595,0.6439194881374838,0.9302049403079222,0.2173023752463467,1,0.5311384448409868,0.07270073211937012,1.9087509101965376,1.254989760058334,0.33203684290587065,0.049102987853047265,0.2156536187536875,0.2187437623385765,0.20000000000000007
17,5.956435124162643,86.11781223894904,0.9127417815057821,0.6547828054132003,0.8291169496691009,0.12794179723364593,3,0.47427473261116837,0.11798620532208397,1.7883207438798003,1.2066454018122659,0.427050842576721,0.03894636239376575,0.3968957518691538,0.36396753145926974,0.20000000000000007
18,10.38617874312536,114.42104310352445,1.4060201694684966,0.8331823730361637,0.8780585677470507,0.12955414496400278,2,0.3596465467254949,0.07379934197772865,1.7528344807067133,1.2542642601791087,0.3131192801846052,0.04613962453209784,0.24212321704567186,0.24825646703109805,0.20000000000000007
19,10.746151675410333,128.973392382581,1.5490450603543522,0.6541599862584537,1.0766741606857533,0.14243797776098208,1,0.6627697936405903,0.09640098974193312,1.7083382851096494,1.4793500999490936,0.34966098624988184,0.04340744722893989,0.2090880791501425,0.2608157987869175,0.20000000000000007
20,10.30900242009253,111.895265192914,1.1631277304479184,0.602157955859015,1.0210358814528697,0.16024053073795003,2,0.3247230550460701,0.08848608613977593,1.3565111356681536,1.1377385227106755,0.32122035834193663,0.02985873259061703,0.24237063518451196,0.2564652053013321,0.20000000000000007
21,5.730611534956263,97.77814989989416,1.5460865537479263,0.9577705532797604,0.9064547435362537,0.16806776732778858,3,0.6335307093201622,0.10632919105170165,2.2780867292043188,1.4932554153597382,0.45355207456810254,0.05357410539231742,0.24207864748868624,0.2899911376214267,0.20000000000000018
22,9.237373761740507,93.04272784892429,1.049089930832217,0.4992547027513883,1.0877003121193467,0.21434830493060733,2,0.3317341058223635,0.09570253607835119,1.4676329517213604,1.2143340007189494,0.3571033507653245,0.026536999831033685,0.257549453499362,0.3139751056237725,0.20000000000000007
23,10.431967108418114,86.24264905220542,1.1650421251979013,0.6217530701040798,0.8661220451633257,0.09528045680296973,3,0.5125292985112587,0.11541148921218361,1.631016100019847,1.2226537646532416,0.4185649230748596,0.04129218249919533,0.38319229159070567,0.3554322376413559,0.20000000000000007
24,11.324350177282431,82.54590216640878,1.1831350875717104,0.5550975103684842,1.010513661972464,0.22770082698237842,3,0.6243355504363204,0.1225194121133231,1.65699338924203,1.2157234872601435,0.3496404162469886,0.03653804312876873,0.29363059691320326,0.29483588740533273,0.20000000000000007
25,6.713724684087501,107.62359123392092,1.4690893790764035,0.8733609642184199,1.0055369807520829,0.18542414104614288,2,0.6604518240272552,0.07605948980784985,1.9077212603630183,1.4170281671928757,0.30787599852602554,0.041168957744722026,0.1674682744948477,0.1898841164052234,0.20000000000000007
26,9.356940230427728,109.16074460821959,1.499081207467917,0.5785586741256713,0.8108626571020359,0.11313285396277395,1,0.44286721992232886,0.11228784187395893,1.791867494776051,1.2080613484831635,0.4085865718773829,0.05293064465069219,0.2613459537148013,0.28906094145326533,0.20000000000000007
27,7.365680918207881,134.07791094517938,1.4255174783105844,0.5610634174461918,0.8397185231322828,0.12720890288667278,3,0.3201172933203126,0.07254453988218698,1.7361502411470704,1.194145896366758,0.29364024164859104,0.045532297041750526,0.24304760370238687,0.24749302262064332,0.20000000000000007
28,11.582486600443435,100.90520051934031,1.1074505583973626,0.8273362119578671,0.7832681291970053,0.13672029722233567,2,0.41460399562497807,0.11360238788505111,1.9875904909909508,1.2241585815763567,0.43194509480106635,0.04817024170892562,0.34128422059486485,0.3942495163311135,0.20000000000000007
29,6.054312230144401,101.0810359926735,1.5846587431711963,0.8318497929187627,0.7543615511750854,0.15212360188253435,3,0.5709839941300513,0.09960730359938838,2.110438840172477,1.2051299043612984,0.4181554456163896,0.06433275702343302,0.23037863549793847,0.29001242662632354,0.20000000000000007
30,7.410182184864603,110.64475896640175,1.735324571874299,0.4247283949615813,0.7598830404617871,0.05407866198346681,2,0.41699567348411914,0.11821817697822566,2.036097521894987,1.393732846769336,0.4535394594279827,0.06455792294462274,0.3973320356683081,0.40751697875578863,0.20000000000000018
