tau_years,year,co2_ppm,baseline_temperature_c,temperature_cap_c,controlled_temperature_c,sai_command_magnitude_wm2,aerosol_reservoir_magnitude_wm2,sai_realized_forcing_wm2
0.67,2096,357.3286250314057,1.566750310849376,1.0,1.0687280756670048,0.9436403783350239,0.8490941895434432,-0.8490941895434432
0.67,2097,356.43715435255547,1.5592072305200937,1.0,1.0611089272246712,0.905544636123356,0.847978253588779,-0.847978253588779
0.67,2098,355.5446643612121,1.5460522067652935,1.0,1.0511027465633342,0.8555137328166712,0.8237996708959274,-0.8237996708959274
0.67,2099,354.66863836261075,1.5243613224660029,1.0,1.0367665935327264,0.7838329676636319,0.7866387865316398,-0.7866387865316398
0.67,2100,353.79757260164183,1.538508412530982,1.0,1.0638014759087255,0.9190073795436277,0.7322240919525909,-0.7322240919525909
0.67,2101,352.921426913506,1.536351122898738,1.0,1.0602205028311618,0.9011025141558088,0.8062563421121631,-0.8062563421121631
0.67,2102,352.0679851778796,1.531933358476127,1.0,1.0537729475108448,0.8688647375542241,0.8116175971866355,-0.8116175971866355
0.67,2103,351.1946385594372,1.5333716665399073,1.0,1.0562517127235367,0.8812585636176834,0.7924000973482042,-0.7924000973482042
0.67,2104,350.3355384096521,1.5411993223240286,1.0,1.0641046240333636,0.9205231201668179,0.7959484044980875,-0.7959484044980875
0.67,2105,349.48378952677666,1.542589162161556,1.0,1.0616341003947225,0.9081705019736125,0.8215346832721773,-0.8215346832721773
0.67,2106,348.6552659245392,1.5303498132773157,1.0,1.0466493376421768,0.8332466882108841,0.8195107371149248,-0.8195107371149248
0.67,2107,347.83320827956925,1.5285622022835097,1.0,1.0495051228325831,0.8475256141629156,0.771443325735664,-0.771443325735664
0.67,2108,347.0208914164592,1.5082734527584991,1.0,1.032614733722589,0.7630736686129452,0.7697715776721915,-0.7697715776721915
0.67,2109,346.1939509380624,1.50331163340197,1.0,1.0377407998827597,0.7887039994137984,0.7149571759352229,-0.7149571759352229
0.67,2110,345.36222769420567,1.5053301740022125,1.0,1.0462791968433405,0.8313959842167024,0.7192629241660597,-0.7192629241660597
0.67,2111,344.5359334938229,1.5070920748429102,1.0,1.048519546793049,0.8425977339652452,0.7477215294114532,-0.7477215294114532
0.67,2112,343.7200931959244,1.499418822064934,1.0,1.039056337466639,0.7952816873331953,0.7612898492023583,-0.7612898492023583
0.67,2113,342.92032016491413,1.4995923543872445,1.0,1.0416357053264267,0.8081785266321334,0.73393091020508,-0.73393091020508
0.67,2114,342.111342955904,1.4913531251082404,1.0,1.03464104401526,0.7732052200763001,0.7361003382292048,-0.7361003382292048
0.67,2115,341.2949734558657,1.496089972358969,1.0,1.0432505702641626,0.8162528513208128,0.7139720315320411,-0.7139720315320411
