case,tau_years,n,T2060_c_p05,T2060_c_p50,T2060_c_p95,T2100_c_p05,T2100_c_p50,T2100_c_p95,T2200_c_p05,T2200_c_p50,T2200_c_p95,T2300_c_p05,T2300_c_p50,T2300_c_p95,peak_command_wm2_p05,peak_command_wm2_p50,peak_command_wm2_p95,peak_reservoir_wm2_p05,peak_reservoir_wm2_p50,peak_reservoir_wm2_p95,max_cap_exceedance_c_p05,max_cap_exceedance_c_p50,max_cap_exceedance_c_p95,mean_cap_exceedance_c_p05,mean_cap_exceedance_c_p50,mean_cap_exceedance_c_p95,first_le_1C_year_p05,first_le_1C_year_p50,first_le_1C_year_p95,first_command_zero_after_last_active_year_p05,first_command_zero_after_last_active_year_p50,first_command_zero_after_last_active_year_p95,first_physical_forcing_below_0p01_after_last_active_year_p05,first_physical_forcing_below_0p01_after_last_active_year_p50,first_physical_forcing_below_0p01_after_last_active_year_p95,post_physical_zero_20y_ols_trend_c_per_yr_p05,post_physical_zero_20y_ols_trend_c_per_yr_p50,post_physical_zero_20y_ols_trend_c_per_yr_p95,max_annual_warming_after_deploy_c_per_yr_p05,max_annual_warming_after_deploy_c_per_yr_p50,max_annual_warming_after_deploy_c_per_yr_p95,post_zero_20y_valid_n,post_zero_20y_unclassified_n,fraction_post_zero_warming_trend_gt_0_among_valid,fraction_peak_command_hits_3p5_cap
V72_plant_ensemble_noise_free,0.67,500,1.148920266498206,1.2002233569001308,1.2477344869875877,1.0283898651432883,1.0773972401176053,1.1240009155703228,0.824149796882218,0.8617741681362012,0.9049413343031697,0.6133192764212173,0.6583222709950965,0.6902687026374129,1.0818671628905725,1.4148863971793244,1.704699235441589,0.8479807064565177,1.0500451437569613,1.2965386972670383,0.16492734188394584,0.2071437434832617,0.2566044590572378,0.021332640918861077,0.03503446267272546,0.052396892111257753,2108.0,2138.0,2150.0,2249.0,2270.0,2285.0,2250.0,2271.0,2286.0,-0.0036821641521889645,-0.003096397637331627,-0.002538169492300668,0.0255199621164383,0.029484517991391512,0.047382007704471735,399,101,0.0,0.0
V72_plant_ensemble_noise_free,1.0,500,1.1505117023468676,1.20590880478268,1.2547686057648635,1.0225340271725973,1.0738237822013648,1.1222685415703826,0.8236887267102233,0.8615140320299952,0.9047797946382224,0.6132115996934075,0.6582485730137613,0.6901800512556963,1.0914919251404391,1.4274224239551923,1.7267025100835713,0.8444634535083104,1.0485924859435856,1.298453779243469,0.16537840867515707,0.208284998589516,0.2577375632845106,0.02135900978076072,0.03511190252872115,0.052444029918269845,2107.55,2138.0,2150.0,2249.0,2270.0,2285.0,2250.0,2271.0,2286.0,-0.003661591757730701,-0.003093866353351037,-0.0025194273823611157,0.02488594304758111,0.02908138119068937,0.04530839738346026,398,102,0.0,0.0
V72_plant_ensemble_noise_free,1.5,500,1.1551337084615598,1.2057192124869378,1.2548873894781936,1.0166813460031279,1.0723554066666994,1.1205983506419361,0.8229449433115038,0.8611037679436435,0.9045081913296336,0.6130195463670325,0.6581273354300232,0.6900148930608689,1.1080439674216085,1.4327145252242155,1.7527080431988722,0.8405980609374604,1.0417221460541413,1.2613289922686326,0.16499026445749645,0.20833899086037688,0.25488738947819345,0.021240646928731944,0.03521815089938413,0.052512978145449266,2099.0,2138.0,2150.0,2249.0,2270.0,2284.0,2250.0,2271.0,2286.0,-0.0036507473552502873,-0.0030689219869333025,-0.0025201500139796205,0.024152898065788787,0.02854707913377086,0.03557354203557352,395,105,0.0,0.0
